,age,education-num,income,count
0,17.0,7.200598802395209,<=50k,334
1,18.22787610619469,7.283185840707965,<=50k,451
2,18.22787610619469,7.283185840707965,>50k,1
3,21.0,10.0,<=50k,568
4,21.0,10.0,>50k,2
5,25.487128712871286,10.0,<=50k,471
6,25.487128712871286,10.0,>50k,34
7,37.0,9.0,<=50k,347
8,37.0,9.0,>50k,94
9,41.4603825136612,9.0,<=50k,584
10,41.4603825136612,9.0,>50k,148
11,37.0,10.505128205128205,<=50k,270
12,37.0,10.505128205128205,>50k,120
13,41.49442896935933,10.440111420612814,<=50k,483
14,41.49442896935933,10.440111420612814,>50k,235
15,42.49408672798949,13.551905387647832,<=50k,308
16,42.49408672798949,13.551905387647832,>50k,453
17,17.0,6.0,<=50k,198
18,19.0,9.0,<=50k,389
19,20.0,9.0,<=50k,351
20,23.0,9.0,<=50k,371
21,23.0,9.0,>50k,5
22,24.0,9.0,<=50k,366
23,24.0,9.0,>50k,10
24,25.0,9.0,<=50k,360
25,25.0,9.0,>50k,13
26,28.0,9.0,<=50k,387
27,28.0,9.0,>50k,31
28,29.0,9.0,<=50k,388
29,29.0,9.0,>50k,39
30,30.0,9.0,<=50k,381
31,30.0,9.0,>50k,48
32,31.0,9.0,<=50k,386
33,31.0,9.0,>50k,63
34,32.0,9.0,<=50k,363
35,32.0,9.0,>50k,61
36,33.0,9.0,<=50k,412
37,33.0,9.0,>50k,61
38,34.0,9.0,<=50k,397
39,34.0,9.0,>50k,66
40,35.492616033755276,9.0,<=50k,789
41,35.492616033755276,9.0,>50k,159
42,17.0,10.0,<=50k,5
43,18.0,10.0,<=50k,189
44,19.0,10.0,<=50k,491
45,19.0,10.0,>50k,1
46,20.0,10.0,<=50k,616
47,22.0,10.0,<=50k,472
48,22.0,10.0,>50k,7
49,23.404195804195805,10.0,<=50k,695
50,23.404195804195805,10.0,>50k,20
51,27.0,10.0,<=50k,249
52,27.0,10.0,>50k,20
53,31.0,10.0,<=50k,233
54,31.0,10.0,>50k,51
55,32.49377593360996,10.0,<=50k,395
56,32.49377593360996,10.0,>50k,87
57,34.0,10.0,<=50k,182
58,34.0,10.0,>50k,74
59,23.485148514851485,11.490099009900991,<=50k,196
60,23.485148514851485,11.490099009900991,>50k,6
61,25.483870967741936,11.489247311827956,<=50k,167
62,25.483870967741936,11.489247311827956,>50k,19
63,29.0,11.367647058823529,<=50k,112
64,29.0,11.367647058823529,>50k,24
65,30.48739495798319,11.432773109243698,<=50k,198
66,30.48739495798319,11.432773109243698,>50k,40
